username,followersCount,location_x,id,id_str,rawcontent,replyCount,retweetCount,likeCount,quoteCount,hashtags,created,date_created,time_created,location_clean,cleaned_content,sentiment,location_y,latitude,longitude
morganwarstler,2427,"Austin, TX",1586049143461625857,1586049143461625857,"@EdAsante77 Whats matters is they got Huawei right, took some dawdling but Trump/USG figured it out",0,0,0,0,[],7/28/2007 23:43,7/28/2007,23:43:06,"Austin, TX",,positive,"Austin, TX",30.2711286,-97.7436995
Tonobohn,1312,,1574459669023793153,1574459669023793153,"@thassius Destravou? Os caras atrasaram o leilão em anos, Thassius! Ficaram brigando com a Huawei de besta por causa do Trump, travaram tudo que podiam.",0,0,1,0,[],7/30/2007 19:30,7/30/2007,19:30:23,Unknown,,neutral,Unknown,22.8503716,80.6884128
RPPNoticias,3123335,"Lima, Peru",1579381595932196865,1579381595932196865,"🖥️ 🇺🇸 🇨🇳 La medida es similar a las restricciones impuestas a la compañía china Huawei por la Administración del anterior presidente estadounidense, Donald Trump.
https://t.co/t8FhJmShRg",0,2,6,0,[],9/24/2007 18:45,9/24/2007,18:45:40,"Lima, Peru",,neutral,"Lima, Peru",-12.0621065,-77.0365256
RPPNoticias,3123335,"Lima, Peru",1579104211228233731,1579104211228233731,"🇺🇸 La sanción es similar a la impuesta a Huawei durante el gobierno de Donald Trump. Estados Unidos aprobó recientemente una ley para apoyar la producción de chips en el país.
https://t.co/Nu8qtuRs4I",0,0,3,0,[],9/24/2007 18:45,9/24/2007,18:45:40,"Lima, Peru",,neutral,"Lima, Peru",-12.0621065,-77.0365256
RPPNoticias,3123335,"Lima, Peru",1578553083050672128,1578553083050672128,"🖥️🇨🇳 La medida es similar a las restricciones impuestas a la compañía china Huawei por la Administración del anterior presidente estadounidense, Donald Trump.
https://t.co/2ipFcY0ewr",0,0,1,0,[],9/24/2007 18:45,9/24/2007,18:45:40,"Lima, Peru",,neutral,"Lima, Peru",-12.0621065,-77.0365256
thurvicentini,260,"São Caetano do Sul, Brasil",1589331922857385984,1589331922857385984,"@donl___ A Huawei já veio pra cá (com o P30 Pro, ainda por cima!), mas Trump estragou tudo pra quem não mora na China",1,0,1,0,[],11/9/2007 17:06,11/9/2007,17:06:04,"So Caetano do Sul, Brasil",,neutral,"So Caetano do Sul, Brasil",-23.6119084,-46.573821
AdrianFRG,2312,"San Fernando, Chile",1565131711263846400,1565131711263846400,"¿La culpa es de Boric? NO.
La culpa es del veto de Trump a Huawei, que no les deja usar los servicios de Google.
¿De qué sirve un smartphone sin poder tener la Play Store, Gmail, YouTube, Netflix o WhatsApp instalados de forma fácil? Se convierte en un ladrillo con cámara. (1/3)",1,1,14,0,[],1/2/2008 20:24,1/2/2008,20:24:29,"San Fernando, Chile",,neutral,"San Fernando, Chile",-34.583791,-70.989122
lichunan,841,"Atherton, CA",1591906837410217985,1591906837410217985,@currentthingceo @KeaweWong China hasn’t really tried very hard until 2019 when Trump started to sanction Huawei.   Before that China was able to get all the chips it needs through imports.  So the sanctions are a great wake up call and catalyst for China to become self sufficient.  Much progress since then,1,0,1,0,[],3/26/2008 22:32,3/26/2008,22:32:43,"Atherton, CA",currentthingceo KeaweWong China Trump sanction Huawei China chips imports sanctions catalyst China self progress,positive,"Atherton, CA",37.453773,-122.2058272
samschech,8183,Europe,1569402834919071745,1569402834919071745,"Meta’s video problem: Instagram users spend 17.6 million hours a day watching Reels, while TikTok users spend 197.8 million hours a day on that platform, internal documents show.  https://t.co/PsP1g01wqn via @sal19 @MeghanBobrowsky @JeffHorwitz",0,2,3,1,[],4/16/2008 21:13,4/16/2008,21:13:25,Europe,Metas video problem Instagram users million hours day Reels TikTok users million hours day platform documents httpstcoPsPgwqn sal MeghanBobrowsky JeffHorwitz,neutral,Europe,51.0,10.0
Charbax,3510,Geneva,1596468050634895360,1596468050634895360,"@MrJiri @dcseifert All Chinese Android phones can ship with all Google apps when they sell these outside of China. Only Huawei is being blocked by Trump US trade war policy. Then again, no reason China can't respond by destroying Apple sales/manufacturing.",1,0,0,0,[],4/30/2008 1:29,4/30/2008,1:29:09,Geneva,MrJiri Chinese Android phones ship Google apps China Huawei Trump trade war policy reason China Apple salesmanufacturing,neutral,Geneva,46.2017559,6.1466014
vepo,5676,Bacurau,1574444701729554435,1574444701729554435,"@ghedin Segundo conversei uma vez com um diretor da minha empresa, a luta do Trump não era contra a Huawei, só era protecionismo mesmo. Perdemos várias concorrências que entramos nos EUA porque o governo estava favorecendo a 0r@cle.",0,0,1,0,[],5/1/2008 12:39,5/1/2008,12:39:02,Bacurau,,neutral,Bacurau,-6.802532,-36.5828868
joemccann,66103,Alpha 👉🏽,1581885652861607937,1581885652861607937,"@iamstephenyuan @balajis Not sure that's true but respectfully, that misses the point - the Trump admin blocked Huawei et al and now just a few years later China has 19 of the fastest growing chip companies on the planet. That's astonishing.",2,0,4,0,[],5/17/2008 21:19,5/17/2008,21:19:23,Alpha ,iamstephenyuan balajis misses point Trump admin Huawei et al years later China chip companies planet,positive,Alpha ,40.6670439,-75.1573972
bennyjohnson,2237521,Tampa Florida ,1587493681040306177,1587493681040306177,BREAKING: FCC commissioner @BrendanCarrFCC says the U.S. government should ban TikTok,232,648,4518,90,[],6/23/2008 21:33,6/23/2008,21:33:20,Tampa Florida ,FCC commissioner BrendanCarrFCC government ban TikTok,neutral,Tampa Florida ,27.9477595,-82.458444
MedicalQuack,9637,"Orange County, CA",1585641350023639042,1585641350023639042,"TURNING ""TRUMP"" INTO CLICKBAIT NOW...RT @WSJ: When Donald Trump heard Canada had arrested Huawei's CFO on behalf of U.S. prosecutors, he was surprised. ""Don’t you know she’s the Ivanka Trump of China?” https://t.co/V3d6HiNC4w",0,0,0,0,[],6/26/2008 21:37,6/26/2008,21:37:21,"Orange County, CA",TRUMP CLICKBAIT NOWRT WSJ Donald Trump Canada Huaweis CFO behalf prosecutors Ivanka Trump China httpstcoVdHiNCw,neutral,"Orange County, CA",33.7500378,-117.8704931
windywoo,84,Always where I'm most expected,1581255635328413697,1581255635328413697,@FoxNews I bet you know as much as Trump knew about Huawei.,0,0,1,0,[],7/2/2008 5:09,7/2/2008,5:09:42,Always where Im most expected,FoxNews bet Trump Huawei,positive,,,
disclosetv,1325720,🌍,1579863508778647553,1579863508778647553,"JUST IN - China will be declared an official ""threat"" in a new strategic review of Britain's enemies - The Sun",357,1193,6031,234,[],7/11/2008 15:25,7/11/2008,15:25:39,,China threat review Britains enemies Sun,positive,,34.220389,70.3800314
WSBT,87997,"Mishawaka, IN",1582503037238509568,1582503037238509568,"Biden's decision comes after former President Donald Trump disallowed semiconductor equipment manufacturers from supply companies selling to Chinese telecommunications firm Huawei, effectively cutting the tech titan off from most advanced chips.

https://t.co/u7aRLctTCP",0,0,1,0,[],7/18/2008 17:12,7/18/2008,17:12:59,"Mishawaka, IN",Bidens decision President Donald Trump semiconductor equipment manufacturers companies Chinese telecommunications firm Huawei tech chips,neutral,"Mishawaka, IN",41.6611642,-86.1807031
LovelyMrPitiful,1621,Tu corazón ,1595378990952452104,1595378990952452104,@antonello Pero Huawei sigue fuera de los servicios de Google porque quiere o todavía está vigente aquello de Trump?,1,0,0,0,[],7/19/2008 8:59,7/19/2008,8:59:43,Tu corazn ,,neutral,,,
RonAtkins,2105,"Atlanta, Ga",1580987798777393152,1580987798777393152,I thought the Trump Admin blocked the use of Huawei and the Biden Admin removed the block?,0,0,0,0,[],7/20/2008 14:14,7/20/2008,14:14:07,"Atlanta, Ga",,neutral,"Atlanta, Ga",33.7489924,-84.3902644
J_CarlosNavarro,1434,Estepona,1596433857108398086,1596433857108398086,"EEUU veta la venta e importación en el país de productos de Huawei y ZTE.
Al final esto no era cosa sólo de la administración Trump, se ve que la administración Biden también ve los dispositivos Chinos como un peligro real 👇 https://t.co/YXjBvwVKGv vía @expansioncom",0,0,0,0,[],7/25/2008 9:21,7/25/2008,9:21:14,Estepona,,neutral,Estepona,36.4268068,-5.1468484
Wandafay,7251,United States,1594461701897826304,1594461701897826304,"""Trump ordered a review of the Chinese-owned app, which is beholden to the Chinese Community Party (CCP), in July 2020 after the Trump administration declared ZTE and Huawei national-security threats.""",0,0,0,0,[],8/2/2008 4:50,8/2/2008,4:50:55,United States,Trump review Chineseowned app beholden Chinese Community Party CCP July Trump administration ZTE Huawei nationalsecurity threats,neutral,United States,39.7837304,-100.445882
stanleymwc,498,All over,1596382217013452800,1596382217013452800,@thymandaIorian @BBCNews I wish Trump would force Huawei to sell to a US buyer like he did Grindr and later (but blocked) TikTok...the P30 camera still run circles around the latest iPhone...,0,0,3,0,[],9/10/2008 22:50,9/10/2008,22:50:52,All over,BBCNews Trump Huawei buyer Grindr TikTokthe P camera circles iPhone,positive,All over,39.1100115,-84.5157386
kelly2277,62370, Global,1584654121503686656,1584654121503686656,🙌 Merrick Garland’s statements about Huawei and China should be applied equally to Donald Trump‼️cc ⁦@BarbMcQuade⁩  https://t.co/YNBgjWFGs8,1,23,65,0,[],9/16/2008 18:48,9/16/2008,18:48:45, Global,Merrick Garlands statements Huawei China Donald Trumpcc BarbMcQuade,neutral, Global,43.7283874,-79.3491488
remi_grumeau,854,"Lille, France",1596648214341599232,1596648214341599232,"@LivingInHM Harmony was introduced in August 2019. Mainly in the rush due to Trump’s decision to blackmail Huawei.
Thing is, they are doing well selling Honor branded phones running Android. Not Harmony…",2,0,0,0,[],9/17/2008 23:53,9/17/2008,23:53:33,"Lille, France",Harmony August rush Trumps decision blackmail Huawei Thing Honor phones Android Harmony,neutral,"Lille, France",50.6365654,3.0635282
JimPethokoukis,57564,"Washington, DC",1582755151122952192,1582755151122952192,"Trump ""took steps against ZTE and Huawei but left open the possibility of future engagement, perhaps in exchange for Chinese cooperation in other geopolitical areas. The latest moves by Biden appear to close those doors, and for a very long time."" - Michael Cembalest of JPMORGAN",2,4,24,0,[],9/27/2008 21:49,9/27/2008,21:49:19,"Washington, DC",Trump steps ZTE Huawei possibility engagement Chinese cooperation areas Biden doors time Michael Cembalest JPMORGAN,neutral,"Washington, DC",38.8950368,-77.0365427
Region8News,111863,"Jonesboro, Arkansas USA",1596330437025988608,1596330437025988608,"Along with Huawei and ZTE, the order affects products made by companies such as Hikvision and Dahua, makers of widely used video surveillance cameras. https://t.co/oMQXoJBVsu",0,1,0,1,[],10/17/2008 20:39,10/17/2008,20:39:53,"Jonesboro, Arkansas USA",Huawei ZTE order products companies Hikvision Dahua makers video surveillance cameras httpstcooMQXoJBVsu,neutral,"Jonesboro, Arkansas USA",35.8272257,-90.6949871
AgusPiedrabuena,4830,Ballesteros de Calatrava,1596410084309225474,1596410084309225474,"A Huawei le impactará poco, ya no vendía nada en EE.UU (ni en equipos de redes ni en terminales). 

Pero a ver qué pasa con la respuesta al veto a ZTE. Trump y Xi Jinping acordaron en 2018 que ZTE podía seguir operando en EE.UU
https://t.co/jsPazHJeFo https://t.co/qS3XmH3M1u",1,0,2,0,[],10/20/2008 21:09,10/20/2008,21:09:36,Ballesteros de Calatrava,,neutral,Ballesteros de Calatrava,38.8354727,-3.944602
mindthrust,6192,Quite close...,1580660564690628608,1580660564690628608,"FCC poised to ban all U.S. sales of new Huawei &amp; ZTE equipment https://t.co/twYVeV2hjw ""the first time the FCC has banned electronics equipment on national security grounds"" Interesting to observe the Biden administration is following in Trump's path to obliterate Huawei from US!",0,0,1,0,[],10/21/2008 15:44,10/21/2008,15:44:02,Quite close...,FCC ban sales new Huawei amp ZTE equipment httpstcotwYVeVhjw time FCC electronics equipment security grounds Interesting Biden administration Trumps path Huawei,positive,Quite close...,45.85515,7.38626
ericgarland,297365,"St Louis, MO",1596497417528115202,1596497417528115202,"BOOM! Biden Administration fully bans Huawei and ZTE telecom equipment, declaring the critical Chinese tech companies to be an unacceptable risk to American national security. https://t.co/4PIWpCJXey",32,340,971,19,[],10/22/2008 20:19,10/22/2008,20:19:50,"St Louis, MO",BOOM Biden Administration Huawei ZTE telecom equipment Chinese tech companies risk American security httpstcoPIWpCJXey,neutral,"St Louis, MO",38.6280278,-90.1910154
CBSMornings,521033,United States,1594685510047641600,1594685510047641600,"CBS News has obtained data from a laptop purported to have belonged to Hunter Biden. The data came directly from the source who said they provided it to the FBI under subpoena.

@CBS_Herridge shares what was found during an independent forensic review. https://t.co/uMWf1vB2Zv",6387,1563,4191,1467,[],11/3/2008 17:05,11/3/2008,17:05:29,United States,CBS News data laptop Hunter Biden data source FBI subpoena CBSHerridge shares review httpstcouMWfvBZv,neutral,United States,39.7837304,-100.445882
bman77,2,Cali,1572069626405875713,1572069626405875713,@Jvvnk11 @GurN3ko @OH_SHARIFF @UniverseIce @Mrwhosetheboss Lol wrong🤭. Samsung has been the number 1 mobile OEM for a long time. Only time they were 2nd was when Huawei took over 1st and was short lived because Trump declared them a threat and had Google block them. But Apple has never been first place. Your figures are fake news😂,1,0,0,0,[],11/16/2008 4:47,11/16/2008,4:47:11,Cali,Jvvnk GurNko OHSHARIFF UniverseIce Mrwhosetheboss Lol Samsung number mobile OEM time time nd Huawei st Trump threat Google block Apple place figures news,neutral,Cali,3.4519238,-76.5328732
AnaSwanson,22649,"Washington, D.C.",1578404191458000898,1578404191458000898,"The rules impose the broadest export controls issued in a decade, similar to the Trump administration’s crackdown on Huawei, but wider in scope, since they affect dozens of Chinese firms. It remains to be seen whether the Chinese government will take action in response.",2,2,7,0,[],11/26/2008 11:09,11/26/2008,11:09:59,"Washington, D.C.",rules export controls decade Trump administrations crackdown Huawei scope affect dozens Chinese firms Chinese government action response,neutral,"Washington, D.C.",38.8950368,-77.0365427
LaukMikel,3536,"Honolulu, Hawai'i",1584682962993307648,1584682962993307648,"Wait, so Garland held a press conference today to announce indictment of two Chinese spies who are unrelated to J6 or Trump’s Stolen Classified Documents?

And, the location of these two criminals is unknown? Who gives a shit about Huawei right now?

ARE YOU FUCKING KIDDING ME!",10,8,46,0,[],12/3/2008 21:10,12/3/2008,21:10:38,"Honolulu, Hawaii",Garland press conference today indictment Chinese spies J Trumps Stolen Classified Documents location criminals shit Huawei FUCKING KIDDING,negative,"Honolulu, Hawaii",21.304547,-157.855676
karolcummins,36135,"California, USA",1040757323738767361,1040757323738767361,"Mags perhaps you have forgotten: Paul Manafort, June 9th Trump Tower meeting attendee, ‘copious notes’, SS7 exploit, GCHQ SIGINT...or are you just deliberately gaslighting America?",5,25,68,3,[],12/5/2008 3:24,12/5/2008,3:24:19,"California, USA",Mags Paul Manafort June th Trump Tower meeting attendee SS exploit GCHQ SIGINTor America,neutral,"California, USA",36.7014631,-118.755997
YaelOss,4767,⚡️yael@yael.at,1586118257819652096,1586118257819652096,"Favorite quote from Trump to John Bolton (who greenlit the arrest warrant on the Huawei exec). 

Stole that as title for our latest @ConsumerCRadio radio show/podcast episode

https://t.co/MQMqVZ9Fct https://t.co/ehNnBJ3bns",0,1,2,0,[],12/9/2008 3:47,12/9/2008,3:47:32,yaelyael.at,Trump John Bolton greenlit arrest warrant Huawei exec Stole title ConsumerCRadio radio episode httpstcoMQMqVZFct httpstcoehNnBJbns,positive,,,
JerryDunleavy,110315,"Washington, DC",1584664508219682816,1584664508219682816,"NEW: Merrick Garland defended the Biden DOJ’s decision to end the Trump era China Initiative — a decision that has been condemned by Republicans — when announcing DOJ’s new Chinese espionage charges related to Huawei &amp; Operation Fox Hunt today.
https://t.co/pYpekFda9F",5,13,32,1,[],12/16/2008 19:55,12/16/2008,19:55:55,"Washington, DC",NEW Merrick Garland Biden DOJs decision end Trump era China Initiative decision Republicans DOJs Chinese espionage charges Huawei amp Operation Fox Hunt today httpstcopYpekFdaF,neutral,"Washington, DC",38.8950368,-77.0365427
kendraschaefer,17524,"Beijing, China",1578197749412950016,1578197749412950016,I wrote a thing with @pstAsiatech https://t.co/TW2gkonhw2,7,12,32,2,[],1/16/2009 18:41,1/16/2009,18:41:53,"Beijing, China",thing pstAsiatech httpstcoTWgkonhw,neutral,"Beijing, China",39.9057136,116.3912972
NRO,354606,New York,1581190078721687553,1581190078721687553,"The FCC is moving to ban all sales of new Huawei and ZTE telecommunications equipment in the US due to “national security concerns,” something the Trump administration was adamant about as well. | @ariblaff 

https://t.co/OOoeUmgtmT",0,6,18,0,[],1/23/2009 22:20,1/23/2009,22:20:49,New York,FCC ban sales Huawei ZTE telecommunications equipment security concerns Trump administration httpstcoOOoeUmgtmT,neutral,New York,40.7127281,-74.0060152
NRO,354606,New York,1580884173862371328,1580884173862371328,"The FCC is moving to ban all sales of new Huawei and ZTE telecommunications equipment in the US due to “national security concerns,” something the Trump administration was adamant about as well. | @ariblaff 

https://t.co/ZZBikuFJ4W",0,5,17,0,[],1/23/2009 22:20,1/23/2009,22:20:49,New York,FCC ban sales Huawei ZTE telecommunications equipment security concerns Trump administration httpstcoZZBikuFJW,neutral,New York,40.7127281,-74.0060152
NRO,354606,New York,1580580441014546432,1580580441014546432,"The FCC is moving to ban all sales of new Huawei and ZTE telecommunications equipment in the US due to “national security concerns,” something the Trump administration was adamant about as well. | @ariblaff 

https://t.co/4cVeNtRgcp",3,6,24,1,[],1/23/2009 22:20,1/23/2009,22:20:49,New York,FCC ban sales Huawei ZTE telecommunications equipment security concerns Trump administration httpstcocVeNtRgcp,neutral,New York,40.7127281,-74.0060152
davo33r,117,,1593999792316698624,1593999792316698624,"@Jim_Jordan Biden is full National Security threats. He canceled the “China Initiative” Trump established to keep China from stealing our Tech IP. He’s allowed TIC TOK for China to spy on US citizens. Allowed. Huawei allowed to install cell equip that spy’s,sold oil to China from SPR,etc",0,0,0,0,[],2/3/2009 21:55,2/3/2009,21:55:29,Unknown,JimJordan Biden National Security threats China Initiative Trump China Tech IP TIC TOK China spy citizens Allowed Huawei install cell equip oil China SPRetc,positive,Unknown,22.8503716,80.6884128
slideme,3728,"Seattle, USA",1582509607980650498,1582509607980650498,"The Federal Communications Commission (FCC) is about to impose a new ban on Huawei and ZTE over their dubious relations with the Chinese government. The US government’s conflict with Chinese tech companies started after Trump’s presidency, and the Chinese  https://t.co/LSUmny3Wkk",0,0,0,0,[],2/12/2009 7:41,2/12/2009,7:41:29,"Seattle, USA",Federal Communications Commission FCC ban Huawei ZTE relations Chinese government governments conflict Chinese tech companies Trumps presidency Chinese,neutral,"Seattle, USA",47.6038321,-122.330062
Stephen_Agnew,612,"Cleburne, TX",1581798484201857024,1581798484201857024,"@PeterZeihan Not true at all, are we forgetting Trump destroying Huawei’s hooks being driven into the world’s tech sectors?",0,0,0,0,[],2/13/2009 7:11,2/13/2009,7:11:46,"Cleburne, TX",PeterZeihan Trump Huaweis hooks worlds tech sectors,negative,"Cleburne, TX",32.3474463,-97.3865494
Stephen_Agnew,612,"Cleburne, TX",1581125317493604352,1581125317493604352,"@jordanschnyc Trump’s sanctions weren’t performative, genius. They very much hurt China, remember the crippling of Huawei? Just because you hate Trump doesn’t mean that Orange Man Bad’s sanctions were performative.",0,0,2,0,[],2/13/2009 7:11,2/13/2009,7:11:46,"Cleburne, TX",jordanschnyc Trumps sanctions genius China Huawei hate Trump Orange Man Bads sanctions,negative,"Cleburne, TX",32.3474463,-97.3865494
leemakiyama,9996,On an Airbus 350,1596523707467698180,1596523707467698180,"China did not retaliate against US semiconductor export controls for a good reason. Not in Beijing interest to escalate. But it probably will on the FCC ban on Huawei, ZTE, Hikvision ban – as it ‘rescinds’ a deal struck between Trump &amp; Xi to let the state-owned ZTE live on.",3,1,7,0,[],2/20/2009 9:42,2/20/2009,9:42:10,On an Airbus 350,China semiconductor export reason Beijing interest escalate FCC ban Huawei ZTE Hikvision ban rescinds deal Trump amp Xi ZTE,positive,On an Airbus 350,24.44382,86.72607
leemakiyama,9996,On an Airbus 350,1596401380712849408,1596401380712849408,"@FCC ban of new products from @Huawei @ZTE etc has practically no meaning to Huawei who never sold basestations to US operators + lost its Honour device biz to state funds. But it voids Trump deal w/ Xi to let ZTE live on. Why, unlike semicon bans, this might lead to retaliation",1,1,3,0,[],2/20/2009 9:42,2/20/2009,9:42:10,On an Airbus 350,FCC products Huawei ZTE Huawei basestations operators Honour device biz state funds voids Trump deal w Xi ZTE semicon bans retaliation,positive,On an Airbus 350,24.44382,86.72607
graffol,288,Lima  Perú,1583095849634045952,1583095849634045952,".. bipartidista. Una cosa era que Donald Trump apuntara a Huawei y ZTE, los conglomerados chinos de telecomunicaciones, y apuntara al comercio administrado. Otra es que el sucesor demócrata de Trump aísle todo el sector de alta tecnología de China. Es notable que no se levanten..",1,0,0,0,[],2/26/2009 0:16,2/26/2009,0:16:09,Lima  Per,,positive,Lima  Per,-7.900719,-34.898389
almarazkari,5504,Mexico,1579516976317464576,1579516976317464576,"@latomocomotal Sí las tiene, nomás hubo ahí una falla cuando Trump hizo berrinche. Tuve el Huawei Y9a y la neta está chido pero quiero ver qué me dicen del iPhone.",0,0,1,0,[],3/3/2009 5:00,3/3/2009,5:00:45,Mexico,,neutral,Mexico,23.6585116,-102.0077097
neue_regel2020,1077,USA,1584608498159341568,1584608498159341568,Imagiane Trump with this information on Huawei- He would have had the Chinese pay him off and then secretly sold them the hardware anyway like it was his own.,0,0,0,0,[],3/9/2009 14:08,3/9/2009,14:08:26,USA,Imagiane Trump information Huawei Chinese hardware,neutral,USA,39.7837304,-100.445882
JeffreyPeel,28577,The Free World,1598032735767252992,1598032735767252992,And they claimed it was overkill when Trump kicked Huawei out of the US core network.,1,9,11,0,[],3/10/2009 12:56,3/10/2009,12:56:36,The Free World,overkill Trump Huawei core network,neutral,The Free World,51.4405772,-0.5470281
TannerHK,138,Hong Kong,1570955817322516480,1570955817322516480,"Taiwanese chipmaker Macronix International Co Ltd is ""doing very well"" in replacing customers after the Trump administration's ban on supplying China's Huawei, its chairman said on Friday. #Macronix #chipmaker #Huaweiban https://t.co/JY5NgMcCfK",0,0,0,0,"['Macronix', 'chipmaker', 'Huaweiban']",3/12/2009 5:11,3/12/2009,5:11:12,Hong Kong,Taiwanese chipmaker Macronix International Co Ltd customers Trump administrations Chinas Huawei chairman Friday Macronix chipmaker Huaweiban httpstcoJYNgMcCfK,neutral,Hong Kong,22.2793278,114.1628131
freedomrideblog,74417,"New York, NY",1592996654743162880,1592996654743162880,"I can’t watch this enough. After Canada pulled that Trump inspired stunt asking Canada to kidnap the Huawei heiress they have the nerve to talk sht to Xi?
Trudeau is so out of his depth here. Every western nation is run by a nincompoop.",26,72,310,5,[],3/15/2009 0:00,3/15/2009,0:00:13,"New York, NY",Canada Trump stunt Canada kidnap Huawei heiress nerve talk sht Xi Trudeau depth nation nincompoop,neutral,"New York, NY",40.7127281,-74.0060152
EttySh,3592,Naughty Corner,1570746403990958082,1570746403990958082,"@Aneshree6 @llddppp Huawei, their phones are great (although Trump did a number on them by blocking their use of Google services) and their laptops are fantastic.",0,0,2,0,[],3/21/2009 10:03,3/21/2009,10:03:24,Naughty Corner,llddppp Huawei phones Trump number use Google services,positive,,,
LouDobbs,2466103,"New York, NY",1594534119576322048,1594534119576322048,"Trump was right--and Intel Agencies were wrong about TikTok, ZTE, Huawei and about China, and much more:
#TheGreatAmericaShow
 Dem Sen. Warner says ‘Trump was right’ about banning China’s TikTok, warns parents against letting kids on app https://t.co/ayNfExbI9j #FoxNews",37,283,1030,17,"['TheGreatAmericaShow', 'FoxNews']",3/25/2009 12:39,3/25/2009,12:39:59,"New York, NY",Intel Agencies TikTok ZTE Huawei China TheGreatAmericaShow Dem Sen Warner Trump right Chinas TikTok parents kids app httpstcoayNfExbIj FoxNews,neutral,"New York, NY",40.7127281,-74.0060152
